Gantry;BB;Expected_X_mm;Expected_Y_mm;Observed_X_mm;Observed_Y_mm;Extra_X_mm;Extra_Y_mm;Extra_Magnitude_mm
20.0007371154934;BB01;0.316625730963473;-0.2314132078043567;0.7182594125697719;-0.4684497519785893;0.40163368160629886;-0.2370365441742326;0.4663645971497974
20.0007371154934;BB02;0.11458510990659262;-0.08218020951204608;0.18727054138837312;-0.5847531743313041;0.0726854314817805;-0.5025729648192581;0.5078018874688355
20.0007371154934;BB03;-0.0864523596596598;0.06309390302814677;-0.1831424696989643;-0.43281054596796054;-0.0966901100393045;-0.4959044489961073;0.5052427138648766
104.998894408956;BB01;0.14467820228328065;0.006748987788835592;0.14094031835055887;0.10537568432119304;-0.003737883932721786;0.09862669653235745;0.09869750273021212
104.998894408956;BB02;-0.1158747156705795;-0.0062715437877329805;-0.22414245246268028;-0.32574415221594677;-0.10826773679210078;-0.3194726084282138;0.3373198042896539
104.998894408956;BB03;-0.25449482898517317;-0.012286886017413678;0.10735783513406005;-0.24020336968801814;0.3618526641192332;-0.22791648367060446;0.42764854034470823
194.992260665225;BB01;-1.0832703836797677;-0.1322277227118578;-1.2188393514949425;0.04633239905674458;-0.1355689678151748;0.17856012176860236;0.2241933587787337
194.992260665225;BB02;0.023932519671842345;0.00296138708056759;0.0006140321664032666;0.03291766934048468;-0.02331848750543908;0.02995628225991709;0.03796222736322438
194.992260665225;BB03;0.14552605054359447;0.017295779154920865;0.2794940532562933;-0.05580932977264297;0.13396800271269882;-0.07310510892756383;0.1526164561970322
285.005528152542;BB01;-0.007799029046509531;0.004122891046281829;-0.09043215257023718;-0.08086724340000817;-0.08263312352372765;-0.08499013444629;0.11853925955769287
285.005528152542;BB02;-0.4795624676615189;0.548826219647438;-0.24046888268648736;0.3853207549277755;0.23909358497503153;-0.16350546471966254;0.2896545863082534
285.005528152542;BB03;0.022395530408971354;-0.018430163971970615;-0.1958462026813521;0.0584114661000541;-0.21824173309032346;0.07684163007202471;0.2313743507271147
